symbol,total_bars,flagged_bars,flagged_n,flagged_pre_dir_ratio,flagged_post_dir_ratio,flagged_dir_ratio_change,flagged_flip_rate,flagged_pre_abs_ret,flagged_post_abs_ret,baseline_n,baseline_pre_dir_ratio,baseline_post_dir_ratio,baseline_dir_ratio_change,baseline_flip_rate,baseline_pre_abs_ret,baseline_post_abs_ret
AAPL,3097,268,267,0.36892103319520286,0.3478008654546702,-0.021120167740532658,0.3595505617977528,0.011676990892787254,0.011851266029655066,801,0.3578682201837822,0.35827060011243,0.00040237992864777805,0.4207240948813982,0.012718716774314888,0.012437083562965835
MSFT,3097,275,274,0.321824400012456,0.31396902804922927,-0.00785537196322672,0.2664233576642336,0.01131907361977132,0.010870076200428356,823,0.3220865482784408,0.3230680924973573,0.000981544218916497,0.3487241798298906,0.011242052226310422,0.011602068141399904
GOOGL,3097,265,262,0.32816095218772395,0.30270678486118663,-0.025454167326537325,0.29770992366412213,0.012850840427489487,0.011541666681063592,792,0.32358291042150195,0.32568354709188096,0.002100636670379019,0.369949494949495,0.012543562613942289,0.01291148183376538
AMZN,3097,244,243,0.3286138510930609,0.3604868198878187,0.03187296879475782,0.4609053497942387,0.014981791316171429,0.014110090796621462,727,0.33678027664961363,0.31985496734235236,-0.01692530930726127,0.3810178817056396,0.01410086822301252,0.01396493971060367
META,3097,275,272,0.3220813584001589,0.3334086067658131,0.011327248365654186,0.4227941176470588,0.014864443534641825,0.014456390150561068,823,0.3302691947795647,0.33877861662513387,0.008509421845569187,0.37424058323207776,0.015474343436577546,0.015685167530789898
NVDA,3097,266,265,0.341666929406384,0.32940954021421487,-0.012257389192169121,0.39245283018867927,0.01969193407820522,0.02023693165657369,796,0.3534659894810433,0.345098673561134,-0.008367315919909302,0.3969849246231156,0.020580272494291122,0.020486859693235014
TSLA,3097,281,277,0.3390298017186659,0.3768043579809298,0.03777455626226389,0.3971119133574007,0.026325898867019085,0.02523485603591671,841,0.35573597679922453,0.3571628412238313,0.0014268644246067663,0.4351961950059453,0.024764459866238764,0.02510986191782072
JPM,3097,281,278,0.32943284662657024,0.37945298663037696,0.05002014000380672,0.381294964028777,0.010590545021231646,0.010472938278245346,841,0.3547333041922556,0.3475407863023462,-0.007192517889909433,0.3697978596908442,0.011036127182401394,0.011185179778407313
JNJ,3097,294,290,0.368281891489476,0.358911714247499,-0.009370177241976974,0.4517241379310345,0.007296255518506076,0.0072475508022380175,881,0.340186005146616,0.3551104056611016,0.01492440051448557,0.36095346197502837,0.00788510272349733,0.007589605525249454
PG,3097,277,274,0.30488315636597907,0.3421997347403951,0.03731657837441604,0.3722627737226277,0.007663887187390047,0.007756454063314465,828,0.3338389322639447,0.323479454999035,-0.010359477264909656,0.357487922705314,0.007852022814868393,0.007780630113534098
CL,3097,241,239,0.3144511779171154,0.3055301791609598,-0.008920998756155596,0.28870292887029286,0.008126209105302748,0.0077966164705026856,721,0.30734127108038967,0.30969755310186525,0.0023562820214755864,0.3245492371705964,0.008097808492186314,0.00820237840867978
ABBV,3097,285,283,0.3348301986665788,0.3438997483963914,0.00906954972981261,0.40636042402826855,0.011336389991783208,0.011158000618222396,853,0.3568316320284214,0.3538331180981484,-0.0029985139302730057,0.4126611957796014,0.011161130914975038,0.011190152877006128
KO,3097,288,286,0.30488733139102026,0.33733819378202295,0.0324508623910027,0.32167832167832167,0.0077579348416033905,0.007417992203512339,861,0.3196820344364988,0.3243661598823759,0.0046841254458770964,0.3507549361207898,0.0074576379531225276,0.0074159315526457345
PEP,3097,291,288,0.33250885738764385,0.32620210466825017,-0.006306752719393682,0.34375,0.007694535213107827,0.00784952044088205,869,0.31231682548369094,0.3188674240619912,0.00655059857830026,0.33256616800920596,0.007800091980547972,0.007751677631529607
MRK,3097,296,295,0.3209256602363762,0.3394837855368333,0.018558125300457085,0.3864406779661017,0.009640182604031029,0.009852928779697054,885,0.327438929728097,0.3418318997518369,0.014392970023739904,0.38531073446327685,0.009788455846074184,0.009821124270929857
UNH,3097,251,248,0.33553125745491513,0.32252031174657125,-0.01301094570834388,0.3467741935483871,0.01159630417750401,0.01123272826270766,750,0.3340022014379378,0.3345937874288027,0.0005915859908648957,0.36133333333333334,0.011602919229409946,0.011540662132399787
HD,3097,265,262,0.3345183475392475,0.34561952325675216,0.011101175717504685,0.3702290076335878,0.010015697977064881,0.009916385334192123,792,0.34544118562374326,0.35095953137077485,0.005518345747031583,0.4090909090909091,0.010509716149067629,0.01064927161085677
WMT,3097,300,300,0.33985282815334555,0.3136235382751904,-0.02622928987815515,0.37666666666666665,0.008248069897554363,0.008368120782488194,896,0.3284644368038347,0.33431843426422414,0.0058539974603894485,0.36495535714285715,0.008933457159028777,0.008778185320087584
XOM,3097,227,225,0.29848854225748694,0.3110861877006554,0.012597645443168437,0.3466666666666667,0.012633511302368934,0.012041723250515906,677,0.30943463049928055,0.3082781846855042,-0.00115644581377633,0.3249630723781389,0.011807943009584399,0.01172399398867552
CVX,3097,276,274,0.3232372154284445,0.3029542390160896,-0.020282976412354936,0.34306569343065696,0.011329172994163734,0.011070202658979896,825,0.3305201863638018,0.3273305706625609,-0.003189615701240933,0.336969696969697,0.011576006249598484,0.011866263795592212
